"ActivityStartDate","ActivityDepthHeightMeasure.MeasureValue","CharacteristicName","ResultMeasureValue"
"1985-08-07",0,"pH",6.45
"1985-08-07",5,"pH",6.46
"1985-08-07",10,"pH",6.34
"1985-08-07",10,"pH",6.24
"1985-08-07",12,"pH",6.03
"1985-08-07",15,"pH",5.59
"1985-08-07",19,"pH",5.33
"1985-08-22",0,"pH",6.5
"1985-08-22",0,"pH",6.25
"1985-08-22",8,"pH",6.3
"1985-08-22",10,"pH",5.95
"1985-08-22",12,"pH",5.93
"1985-08-22",15,"pH",5.53
"1985-08-22",19,"pH",5.27
"1985-09-11",0,"pH",6.2
"1985-09-11",8,"pH",6.27
"1985-09-11",10,"pH",6
"1985-09-11",12,"pH",5.89
"1985-09-11",15,"pH",5.49
"1985-09-11",15,"pH",5.46
"1985-09-11",19,"pH",5.4
"1985-10-02",0,"pH",6.02
"1985-10-02",8,"pH",6.04
"1985-10-02",12,"pH",5.89
"1985-10-02",15,"pH",5.43
"1985-10-02",19,"pH",5.75
"1985-10-02",19,"pH",5.76
"1985-10-22",0,"pH",5.97
"1985-10-22",0,"pH",5.98
"1985-10-22",10,"pH",5.97
"1985-10-22",19,"pH",6.06
"1985-11-13",0,"pH",5.9
"1985-11-13",10,"pH",5.9
"1985-11-13",19,"pH",5.88
"1985-11-13",19,"pH",5.88
"1986-01-15",0.5,"pH",5.94
"1986-01-15",10,"pH",5.77
"1986-01-15",10,"pH",5.77
"1986-01-15",19,"pH",5.34
"1986-02-24",0.5,"pH",5.86
"1986-02-24",10,"pH",5.6
"1986-02-24",18,"pH",5.1
"1986-04-02",0,"pH",4.95
"1986-04-02",10,"pH",5.35
"1986-04-02",10,"pH",5.39
"1986-04-02",19,"pH",5.08
"1986-04-22",0,"pH",5.91
"1986-04-22",0,"pH",5.91
"1986-04-22",10,"pH",5.94
"1986-04-22",19,"pH",5.46
"1986-05-22",0,"pH",6.29
"1986-05-22",5,"pH",6.33
"1986-05-22",5,"pH",6.41
"1986-05-22",8,"pH",6.69
"1986-05-22",12,"pH",6.81
"1986-05-22",15,"pH",6.41
"1986-05-22",19,"pH",5.95
"1986-06-19",0,"pH",6.61
"1986-06-19",5,"pH",6.78
"1986-06-19",10,"pH",6.53
"1986-06-19",12,"pH",6.39
"1986-06-19",12,"pH",6.4
"1986-06-19",15,"pH",6.32
"1986-06-19",19,"pH",6.09
"1986-07-17",0,"pH",6.82
"1986-07-17",0,"pH",6.79
"1986-07-17",5,"pH",6.89
"1986-07-17",10,"pH",6.37
"1986-07-17",12,"pH",6.38
"1986-07-17",15,"pH",6
"1986-07-17",19,"pH",6.02
"1986-08-14",0,"pH",6.63
"1986-08-14",8,"pH",6.59
"1986-08-14",10,"pH",6.29
"1986-08-14",10,"pH",6.26
"1986-08-14",12,"pH",6.28
"1986-08-14",15,"pH",5.92
"1986-08-14",19,"pH",5.69
"1986-09-11",10,"pH",6.37
"1986-09-11",10,"pH",6.21
"1986-09-11",12,"pH",6.23
"1986-09-11",15,"pH",5.83
"1986-09-11",19,"pH",5.61
"1986-10-08",0,"pH",6.22
"1986-10-08",12,"pH",6.12
"1986-10-08",15,"pH",5.71
"1986-10-08",16,"pH",5.59
"1986-10-08",19,"pH",5.7
"1986-10-08",19,"pH",5.71
"1986-11-03",0,"pH",6.24
"1986-11-03",10,"pH",6.18
"1986-11-03",10,"pH",6.21
"1986-11-03",19,"pH",6.17
"1987-01-14",0,"pH",6.18
"1987-01-14",0,"pH",6.22
"1987-01-14",10,"pH",5.99
"1987-01-14",19,"pH",5.76
"1987-02-25",0,"pH",6.19
"1987-02-25",3,"pH",5.81
"1987-02-25",10,"pH",5.94
"1987-02-25",10,"pH",5.93
"1987-02-25",15,"pH",5.92
"1987-02-25",18,"pH",5.82
"1987-02-25",19,"pH",5.77
"1987-03-25",0,"pH",5.8
"1987-03-25",10,"pH",5.81
"1987-03-25",10,"pH",5.81
"1987-03-25",18,"pH",5.6
"1987-03-25",19,"pH",5.57
"1987-04-21",0,"pH",6.1
"1987-04-21",5,"pH",6.03
